ROW_ID,ORDER_ID,ORDER_DATE,SHIP_DATE,SHIP_MODE,CUSTOMER_ID,PRODUCT_ID,SALES,QUANTITY,DISCOUNT,PROFIT,ID_EMPLOYEE
1,CA-2016-152156,8/11/2016,11/11/2016,Second Class,CG-12520,FUR-BO-10001798,261.96,2,0,41.9136,7
2,CA-2016-152156,8/11/2016,11/11/2016,Second Class,CG-12520,FUR-CH-10000454,731.94,3,0,219.582,1
3,CA-2016-138688,12/6/2016,16/6/2016,Second Class,DV-13045,OFF-LA-10000240,14.62,2,0,6.8714,6
4,US-2015-108966,11/10/2015,18/10/2015,Standard Class,SO-20335,FUR-TA-10000577,957.5775,5,0.45,-383.031,8
5,US-2015-108966,11/10/2015,18/10/2015,Standard Class,SO-20335,OFF-ST-10000760,22.368,2,0.2,2.5164,9
6,CA-2014-115812,9/6/2014,14/6/2014,Standard Class,BH-11710,FUR-FU-10001487,48.86,7,0,14.1694,6
7,CA-2014-115812,9/6/2014,14/6/2014,Standard Class,BH-11710,OFF-AR-10002833,7.28,4,0,1.9656,6
8,CA-2014-115812,9/6/2014,14/6/2014,Standard Class,BH-11710,TEC-PH-10002275,907.152,6,0.2,90.7152,5
9,CA-2014-115812,9/6/2014,14/6/2014,Standard Class,BH-11710,OFF-BI-10003910,18.504,3,0.2,5.7825,1
10,CA-2014-115812,9/6/2014,14/6/2014,Standard Class,BH-11710,OFF-AP-10002892,114.9,5,0,34.47,6
11,CA-2014-115812,9/6/2014,14/6/2014,Standard Class,BH-11710,FUR-TA-10001539,1706.184,9,0.2,85.3092,6
12,CA-2014-115812,9/6/2014,14/6/2014,Standard Class,BH-11710,TEC-PH-10002033,911.424,4,0.2,68.3568,1
13,CA-2017-114412,15/4/2017,20/4/2017,Standard Class,AA-10480,OFF-PA-10002365,15.552,3,0.2,5.4432,4
14,CA-2016-161389,5/12/2016,10/12/2016,Standard Class,IM-15070,OFF-BI-10003656,407.976,3,0.2,132.5922,6
15,US-2015-118983,22/11/2015,26/11/2015,Standard Class,HP-14815,OFF-AP-10002311,68.81,5,0.8,-123.858,7
16,US-2015-118983,22/11/2015,26/11/2015,Standard Class,HP-14815,OFF-BI-10000756,2.544,3,0.8,-3.816,6
17,CA-2014-105893,11/11/2014,18/11/2014,Standard Class,PK-19075,OFF-ST-10004186,665.88,6,0,13.3176,6
18,CA-2014-167164,13/5/2014,15/5/2014,Second Class,AG-10270,OFF-ST-10000107,55.5,2,0,9.99,6
19,CA-2014-143336,27/8/2014,1/9/2014,Second Class,ZD-21925,OFF-AR-10003056,8.56,2,0,2.4824,5
20,CA-2014-143336,27/8/2014,1/9/2014,Second Class,ZD-21925,TEC-PH-10001949,213.48,3,0.2,16.011,5
21,CA-2014-143336,27/8/2014,1/9/2014,Second Class,ZD-21925,OFF-BI-10002215,22.72,4,0.2,7.384,6
22,CA-2016-137330,9/12/2016,13/12/2016,Standard Class,KB-16585,OFF-AR-10000246,19.46,7,0,5.0596,8
23,CA-2016-137330,9/12/2016,13/12/2016,Standard Class,KB-16585,OFF-AP-10001492,60.34,7,0,15.6884,9
24,US-2017-156909,16/7/2017,18/7/2017,Second Class,SF-20065,FUR-CH-10002774,71.372,2,0.3,-1.0196,5
25,CA-2015-106320,25/9/2015,30/9/2015,Standard Class,EB-13870,FUR-TA-10000577,1044.63,3,0,240.2649,8
